PERID,Criminal
25095143,0
13005143,0
67415143,0
70925143,0
75235143,0
47745143,0
33145143,0
63765143,0
57796143,0
66416143,0
51916143,0
40016143,0
99116143,0
85326143,0
63336143,0
64946143,0
73856143,0
82956143,0
65276143,0
58307143,0
67407143,0
83427143,0
68447143,0
65177143,0
77787143,0
96887143,0
46218143,0
15938143,0
15268143,0
79868143,0
36978143,0
12519143,0
56929143,0
25839143,0
19149143,0
61569143,0
10479143,0
97779143,0
80610143,0
91130143,0
89850143,0
49280143,0
45680143,0
77291143,1
21601143,0
59611143,0
33541143,0
58041143,0
47141143,1
30081143,0
34492143,0
15912143,0
54012143,0
93112143,0
85722143,0
83252143,0
49462143,0
23872143,0
43493143,0
67423143,0
45433143,0
13343143,1
31163143,0
15573143,0
52873143,0
76804143,0
35334143,0
56754143,0
52525243,0
69825243,0
33235243,0
55555243,0
13755243,0
81955243,1
83185243,0
89396243,0
42096243,0
47116243,0
56026243,0
91856243,0
92376243,0
99676243,0
88776243,0
55217243,0
74127243,0
83037243,0
25547243,0
76067243,0
13318243,0
78818243,0
81138243,0
78578243,0
73078243,0
48199243,0
15209243,0
42319243,0
69619243,0
93029243,0
19239243,0
74739243,0
59379243,0
72079243,0
98289243,0
19990243,0
92400243,0
35100243,0
48610243,0
59320243,0
55530243,0
19130243,0
67660243,0
86760243,0
69270243,0
51070243,0
97280243,0
73680243,0
63201243,0
46281243,0
25381243,0
62681243,0
90692243,0
29502243,0
56612243,0
77272243,0
31872243,0
65423243,0
46653243,0
61153243,0
82863243,1
71724243,0
13854243,0
41674243,0
93605343,0
77155343,0
14265343,0
98865343,0
17585343,0
55596343,0
61996343,0
83316343,0
31326343,0
46346343,0
59856343,0
53266343,0
85207343,0
53357343,0
30277343,0
55777343,0
85587343,0
25398343,0
31798343,0
73118343,0
79328343,1
18568343,0
27668343,0
40319343,0
89419343,0
14729343,0
17949343,0
51359343,0
68659343,0
34869343,0
68279343,0
27379343,0
72490343,0
12010343,0
31110343,1
10020343,0
67130343,0
41250343,0
27460343,0
70160343,0
31870343,0
61680343,0
43291343,0
85091343,0
88501343,0
47601343,0
23811343,1
75421343,0
61821343,0
30251343,0
77551343,0
33761343,0
21961343,1
70871343,0
77171343,0
80681343,1
63192343,0
32812343,0
61912343,0
33522343,0
18022343,0
77932343,0
37452343,0
23282343,0
52193343,0
39203343,0
13613343,0
67833343,0
30243343,0
17353343,0
29153343,0
75363343,1
57163343,0
65173343,0
93704343,0
41714343,0
33324343,0
88344343,0
14744343,0
63844343,0
37254343,0
69674343,0
43084343,0
77295443,0
39095443,0
44305443,0
13215443,0
67815443,0
55015443,0
76725443,0
50655443,0
67765443,0
59375443,0
37575443,0
94685443,0
57906443,0
99516443,0
69326443,0
85726443,0
35536443,0
94346443,0
61646443,0
13256443,0
91076443,1
91697443,0
27807443,0
55627443,0
28847443,0
85147443,0
48467443,0
83967443,0
95387443,0
71598443,0
25718443,0
78228443,0
72158443,0
50168443,0
73678443,1
93439443,0
53959443,0
31159443,0
67790443,0
17500443,0
34610443,0
89920443,0
19730443,0
54940443,0
20960443,0
43470443,0
41291443,0
68591443,0
73801443,0
25411443,0
63611443,0
37351443,0
86451443,0
12661443,0
59961443,0
20671443,0
27781443,0
20002443,0
77872443,0
76972443,0
83603443,0
20523443,0
97633443,0
25833443,0
27963443,0
85973443,0
63173443,0
51994443,0
25304443,0
49334443,0
57054443,1
86774443,0
23074443,0
34105543,0
60315543,0
75815543,0
18275543,0
50075543,0
19175543,0
47185543,0
68036543,0
45856543,0
26376543,0
73676543,0
65286543,0
72586543,0
90786543,0
59886543,0
83007543,0
49217543,0
74527543,0
85757543,1
47177543,0
71587543,0
59787543,0
55187543,0
49598543,0
51108543,1
93338543,1
61058543,0
50778543,0
63288543,0
21009543,0
17029543,0
24139543,0
71769543,0
28879543,0
37979543,0
47590543,0
81900543,0
69100543,0
77110543,1
36020543,0
59240543,0
67440543,0
99050543,0
85260543,0
77060543,0
17201543,0
13601543,0
90331543,0
88531543,0
14641543,0
31941543,1
59141543,0
20471543,0
47771543,0
55922543,0
86632543,0
17242543,0
41842543,0
79852543,0
77482543,0
31082543,0
46103543,0
81033543,0
46243543,0
26483543,0
29183543,0
15104543,0
96624543,0
97044543,0
73715643,0
91725643,0
27125643,0
75845643,0
87075643,0
29496643,0
83616643,0
39016643,0
87836643,0
72856643,0
15366643,0
82666643,0
39586643,0
69397643,0
27307643,0
84417643,0
52617643,0
29057643,0
95267643,0
70577643,0
23898643,0
23608643,0
95028643,0
81238643,0
95358643,0
21568643,0
10668643,0
51188643,0
26209643,0
81469643,0
65689643,0
53889643,0
89090643,0
44920643,0
67430643,0
17760643,0
96480643,0
31501643,0
47901643,0
84011643,0
83731643,0
41931643,0
56951643,0
19892643,0
94912643,0
39222643,0
35622643,1
53822643,0
22922643,0
97232643,0
63342643,0
61352643,0
98272643,0
57182643,0
51593643,0
75193643,0
57513643,0
47323643,0
51733643,0
53243643,0
48983643,0
86183643,0
67894643,0
49214643,0
95614643,0
51344643,0
29544643,0
55944643,0
97364643,0
41774643,0
54284643,0
29395743,1
85505743,0
79725743,0
52235743,0
77445743,0
13465743,0
12565743,0
79865743,0
19675743,0
65885743,0
52996743,0
47016743,0
73226743,0
41236743,0
46736743,0
93746743,0
50046743,0
75356743,0
83366743,0
52466743,0
55976743,0
29386743,0
55307743,0
13127743,0
26157743,0
43267743,0
70567743,1
17867743,0
89287743,0
76587743,0
94787743,1
32987743,0
19238743,0
38338743,0
73838743,0
10138743,0
25348743,0
31558743,0
31368743,0
69378743,0
67578743,1
65778743,0
11319743,0
61459743,0
83069743,0
94779743,1
16900743,0
10640743,0
12250743,0
51970743,0
49170743,1
15191743,0
19311743,0
29451743,0
58792743,0
87892743,0
93002743,0
85752743,0
68262743,0
69162743,0
83572743,0
30872743,0
17172743,0
89303743,0
97503743,0
95703743,0
68213743,0
95513743,0
21533743,1
89443743,0
67263743,0
83283743,0
85083743,0
67694743,0
85604743,0
13424743,0
14844743,0
39964743,0
49195843,0
89335843,0
88435843,0
15735843,1
89045843,0
23455843,0
60755843,0
31465843,1
25065843,0
59475843,0
83075843,0
14785843,0
82985843,0
25206843,0
86106843,0
69616843,0
65016843,0
59426843,0
53836843,0
96676843,0
45247843,0
24398843,1
49898843,0
16908843,0
77618843,0
99228843,0
44248843,0
76048843,0
83968843,0
69178843,0
61788843,0
27999843,0
61309843,0
60409843,0
89509843,0
46809843,0
13729843,0
25339843,0
45049843,0
87659843,0
89889843,0
69210843,0
11010843,0
71150843,0
55560843,0
35370843,0
44470843,0
99591843,0
58401843,0
37501843,0
94801843,0
19921843,0
87121843,0
14231843,0
33041843,0
67071843,0
13281843,0
70581843,0
79202843,0
94322843,0
55362843,0
69772843,0
39393843,0
17593843,1
82803843,0
87253843,0
85263843,0
60763843,0
33894843,0
52994843,0
28104843,0
65354843,1
80854843,0
89954843,0
55164843,0
11374843,0
46295943,0
41315943,0
13445943,0
21406943,0
36906943,0
26716943,0
21546943,0
67566943,0
85766943,0
53776943,0
31597943,0
69797943,0
43917943,0
10027943,0
80167943,0
69077943,0
17087943,0
51498943,0
66998943,0
14908943,0
25428943,0
19028943,0
20738943,0
97748943,0
29358943,0
35758943,0
81588943,0
37988943,0
67799943,0
29309943,0
47319943,0
45849943,0
79259943,0
37269943,0
14700943,0
73800943,0
51810943,0
43230943,0
49340943,0
33560943,0
43370943,0
71570943,1
73511943,0
39911943,0
57111943,0
41521943,0
55121943,0
41331943,0
33131943,0
92181943,0
99292943,1
10192943,0
88912943,0
25832943,0
91562943,0
79572943,0
25303943,0
98623943,0
37723943,0
54833943,0
27243943,0
89283943,0
58383943,0
43883943,0
13404943,0
39804943,0
26104943,0
87814943,0
27624943,0
63024943,0
65344943,0
40654943,0
64295043,0
51305043,0
70215043,0
68225043,0
68035043,0
31255043,0
83055043,0
52155043,0
57465043,0
35665043,0
17896043,0
18506043,0
27226043,0
25426043,0
64046043,0
44856043,0
81776043,1
72297043,0
21397043,0
14807043,0
35327043,0
10637043,0
86747043,0
74947043,0
33047043,0
27457043,0
91057043,0
36367043,0
91867043,0
19067043,0
93477043,0
76177043,0
16508043,0
89399043,0
45799043,0
32429043,0
19869043,0
48779043,0
11289043,0
23410043,0
20710043,0
27010043,0
49140043,0
66250043,0
25350043,0
44450043,0
47770043,0
63311043,0
59331043,0
45441043,0
71651043,0
80371043,0
67292043,0
59232043,0
19752043,0
63162043,0
89372043,0
62213043,0
56813043,0
29323043,1
48423043,0
64343043,1
41643043,0
77043043,0
87663043,0
52163043,0
55673043,0
41883043,0
35624043,0
61834043,0
73344043,0
81544043,1
57944043,0
15144043,0
35764043,0
83964043,0
67374043,0
11784043,0
23905153,0
12815153,0
39445153,0
68545153,0
97645153,0
13045153,0
38355153,0
31865153,0
91675153,0
94706153,0
37216153,0
50246153,0
17356153,0
37976153,0
67307153,0
84607153,0
31907153,0
39107153,0
96217153,0
42427153,0
76027153,0
43137153,0
67877153,0
15698153,0
74798153,0
27828153,0
45358153,0
67778153,0
46499153,0
49199153,0
85739153,0
35069153,0
79090153,1
11220153,1
69420153,0
47620153,0
35820153,0
53020153,0
61740153,0
39750153,0
21791153,0
93301153,0
89701153,0
12351153,0
19271153,0
81071153,0
27281153,1
55481153,0
41402153,0
88702153,0
23012153,0
67422153,0
26332153,0
49742153,0
63152153,0
41782153,0
33723153,0
96233153,0
10543153,0
67843153,0
93053153,0
55473153,0
69404153,0
65804153,0
96654153,0
85754153,1
47364153,0
29164153,1
88884153,0
67984153,0
21715253,0
97925253,0
52235253,0
54035253,0
75645253,0
74745253,0
85265253,0
91285253,0
56785253,1
69006253,0
53416253,0
59816253,0
48916253,0
49626253,0
26926253,0
63036253,0
52846253,0
34456253,0
17966253,0
32037253,0
15447253,0
18957253,0
17057253,0
27867253,0
73698253,0
19618253,0
52648253,0
51558253,0
27768253,0
67578253,0
65778253,0
53788253,0
45399253,0
75109253,0
20419253,1
79329253,0
73929253,0
65539253,0
91649253,0
23069253,0
73689253,1
63960253,0
83770253,0
84480253,0
77180253,0
45901253,0
35711253,0
29121253,0
23241253,0
57841253,0
35041253,0
80351253,0
19881253,0
42392253,1
49022253,0
11632253,0
97742253,0
91152253,0
27982253,0
27793253,0
62003253,0
82143253,0
87453253,1
42763253,0
61863253,0
49063253,0
79873253,0
79683253,0
57694253,0
39204253,0
22714253,0
53234253,0
90534253,0
21144253,0
17974253,0
11515353,0
69335353,0
95735353,0
63645353,0
49855353,0
33265353,0
97865353,0
49475353,1
77485353,0
14596353,1
73696353,0
68196353,0
21606353,0
29806353,0
75826353,0
19236353,0
70897353,0
23307353,0
97907353,0
65107353,0
80417353,0
74017353,0
14827353,0
62837353,0
67667353,0
17098353,0
23208353,0
87808353,0
46338353,0
69558353,0
21788353,0
47709353,0
78419353,0
57329353,0
81929353,0
81259353,0
27659353,0
12969353,0
61689353,0
23760353,0
98691353,0
76601353,0
59111353,0
82141353,0
89251353,0
45461353,0
37881353,0
42902353,0
58442353,0
95742353,0
51142353,1
14652353,0
19962353,0
43993353,0
71193353,0
89723353,0
15123353,0
31333353,0
47443353,0
79863353,0
86163353,0
19294353,0
86594353,0
43414353,0
44124353,0
75834353,0
11944353,0
89384353,0
15784353,0
63984353,0
51184353,0
33305453,0
49325453,0
67335453,0
99655453,0
47285453,0
99606453,0
84726453,0
53826453,0
85436453,0
99366453,0
14676453,0
79176453,0
53586453,0
53107453,0
45337453,0
94437453,0
13537453,0
91737453,0
47467453,0
15667453,0
59077453,0
57087453,0
71208453,0
76518453,0
55428453,0
14858453,0
84619453,0
73719453,0
43529453,0
73339453,0
39449453,1
35089453,0
15600453,0
18250453,0
46260453,0
85360453,0
54080453,0
71191453,0
67301453,0
68821453,0
87921453,0
29531453,0
74551453,0
65881453,0
46592453,0
24502453,0
19812453,0
98912453,0
73742453,1
16252453,0
21752453,0
10852453,0
67582453,0
11703453,1
10803453,0
79713453,1
68623453,0
19333453,0
54543453,0
37294453,0
65494453,0
42794453,0
83404453,0
66104453,0
48714453,0
17814453,0
94114453,0
13544453,0
49315553,0
25715553,0
85525553,0
52635553,0
27135553,0
69645553,0
27845553,1
25045553,0
72155553,0
57275553,1
43675553,0
91875553,0
58985553,0
31496553,0
53626553,0
15756553,0
17366553,0
21966553,0
95376553,0
67797553,0
23197553,1
23907553,0
41107553,0
33717553,0
50017553,0
11537553,1
67937553,0
53047553,0
41057553,0
75418553,0
29828553,0
77028553,0
76938553,0
81148553,0
65558553,0
93758553,0
41768553,0
89588553,0
36699553,1
15319553,0
59729553,0
27449553,0
52569553,0
62379553,0
18779553,1
47879553,0
32990553,0
23600553,0
61610553,0
25540553,0
80660553,0
29760553,0
79570553,0
83791553,0
52891553,0
61991553,0
33311553,0
37911553,0
39521553,1
55441553,0
64541553,0
73261553,0
33071553,0
97002553,0
97812553,0
40462553,0
59562553,0
91172553,0
43782553,1
23593553,0
10893553,0
33113553,0
47333553,0
45533553,0
41933553,0
91643553,0
97043553,1
99463553,0
75673553,0
83873553,0
43204553,0
37614553,0
83824553,0
71834553,0
20454553,0
29174553,0
31005653,0
17165653,0
97975653,1
48685653,0
29396653,0
98496653,0
91196653,0
41336653,0
49246653,0
42946653,0
73466653,1
77066653,0
90576653,0
25076653,0
34986653,0
28397653,0
51097653,0
40197653,0
63227653,0
17827653,0
48537653,1
65837653,0
77347653,0
39147653,0
79387653,0
87587653,0
24698653,0
83508653,0
50808653,0
69718653,0
85928653,0
47248653,0
25258653,0
16968653,0
76778653,0
25499653,0
18529653,0
95829653,0
27579653,0
46679653,1
86810653,0
71930653,0
17850653,0
17470653,0
17280653,0
75291653,0
83631653,0
44241653,0
77941653,0
79551653,0
26851653,0
57371653,0
87992653,0
77702653,0
74002653,0
56422653,0
91442653,0
36942653,0
39262653,1
38362653,0
73482653,0
86993653,0
74713653,1
19023653,0
81343653,0
39543653,1
49163653,0
24283653,0
63383653,0
55994653,0
65134653,0
28164653,0
24184653,0
97495753,0
23895753,0
81095753,0
77205753,0
35405753,0
21805753,0
83225753,0
88865753,0
87396753,0
13506753,0
11136753,0
74166753,0
38386753,0
37486753,0
91086753,0
83837753,0
63167753,1
29187753,0
12698753,0
49998753,0
57198753,0
80418753,0
88238753,0
14348753,0
59468753,0
45488753,0
50799753,0
76199753,0
28709753,0
97809753,0
45009753,0
18519753,0
79229753,0
15579753,0
70079753,0
65190753,0
23100753,0
35710753,0
29120753,0
61060753,0
81680753,0
72531753,0
17031753,0
16841753,0
85941753,0
49351753,0
43951753,0
67361753,0
11771753,0
46222753,0
35322753,0
62432753,0
39442753,0
65652753,0
67262753,0
33662753,0
46793753,0
39203753,0
17023753,0
67543753,0
91953753,0
54463753,0
15794753,0
89724753,0
71664753,0
80764753,0
91474753,0
33084753,0
32184753,0
43545853,0
91555853,0
64065853,0
75775853,0
65396853,0
84206853,0
69706853,0
19516853,0
83116853,0
43926853,0
94156853,0
25866853,0
84966853,0
33876853,0
69897853,0
78997853,0
77097853,0
93207853,0
68707853,0
29037853,0
21167853,0
74677853,0
99508853,0
57328853,0
31928853,0
22638853,0
83248853,0
17848853,0
20978853,0
88988853,0
99219853,0
57229853,0
83629853,0
49029853,0
62249853,0
52059853,0
61159853,0
53579853,0
77989853,0
15700853,0
35510853,0
65320853,0
51240853,0
69250853,0
87070853,0
93280853,0
25891853,0
63091853,0
72901853,0
45411853,0
17831853,0
79341853,0
63941853,0
27161853,0
83992853,0
32092853,0
17302853,0
74412853,1
61042853,0
10952853,0
42372853,0
49672853,0
68772853,0
37682853,0
29293853,0
57493853,0
93413853,0
61613853,0
19623853,0
37823853,0
57153853,0
47963853,0
26063853,0
45783853,0
81183853,0
16494853,0
95304853,0
81704853,0
40424853,0
26634853,0
35444853,0
81464853,0
44164853,0
25874853,0
84784853,0
32595953,0
99895953,0
42305953,1
84725953,0
95435953,0
75955953,0
66475953,0
23775953,1
93106953,0
97136953,0
17846953,0
77656953,0
48366953,0
65476953,0
39076953,0
95286953,0
71686953,0
18797953,0
95807953,0
83007953,0
93627953,0
15237953,0
23147953,0
87557953,0
16087953,0
35187953,0
83338953,0
77458953,0
15609953,0
87029953,0
19639953,0
15039953,0
29349953,0
78449953,0
57549953,0
41769953,0
69589953,0
15790953,0
31330953,0
23840953,0
37250953,0
22750953,0
78391953,0
85211953,0
71322953,0
13122953,0
17532953,0
53932953,0
63262953,0
47672953,0
26772953,0
82982953,0
59803953,0
70894953,0
32404953,1
54824953,0
17334953,0
85244953,0
43444953,0
81454953,0
89464953,0
53874953,0
72395053,0
39695053,0
55615053,0
53815053,0
95425053,0
49025053,1
41635053,0
71345053,0
96465053,0
47175053,1
13385053,0
70496053,0
19596053,1
57796053,0
23526053,0
18026053,0
77936053,0
15466053,1
44566053,0
83476053,0
69207053,0
33427053,0
53237053,0
62337053,0
25747053,0
21957053,0
22667053,0
60867053,0
19398053,0
67598053,0
51198053,0
25318053,0
74038053,0
33138053,0
93848053,0
43468053,0
10578053,0
99678053,0
